Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Zaidu Sanusi,76,LB  LWB,Normal  Controlled,600,2,2,H \ H,93,37,56,64,74,72,"182cm | 6'0""  Lean (71kg)",17,396,1808,FC Porto,Liga NOS (POR 1),Nigeria
David Carmo,76,CB,Normal  Controlled,400,2,2,M \ M,50,28,53,51,77,79,"196cm | 6'5""  High & Average+ (89kg)",3,338,1516,FC Porto,Liga NOS (POR 1),Portugal
Tommaso Pobega,76,CM,Normal  Controlled,700,3,4,H \ M,76,77,72,76,74,79,"188cm | 6'2""  High & Average (78kg)",51,454,2154,Milan,Serie A TIM,Italy
Ladislav Krejčí,76,"CDM  CB,CM",Normal  Lengthy,350,2,3,H \ H,67,66,67,68,74,84,"190cm | 6'3""  High & Average (86kg)",1,426,2007,Sparta Praha,Česká Liga (CZE 1),Czech Republic
Hicham Boudaoui,76,"RM  CM,RW",Normal  Controlled,400,3,3,M \ H,74,65,71,79,72,72,"175cm | 5'9""  Lean (61kg)",4,433,2048,OGC Nice,Ligue 1,Algeria
Attila Szalai,76,CB  LB,Normal  Lengthy,400,2,3,H \ H,73,44,62,61,76,83,"192cm | 6'4""  High & Average (83kg)",13,399,1849,Fenerbahçe,Süper Lig (TUR 1),Hungary
Arnaud Kalimuendo,76,ST  CF,Normal  Controlled,350,3,3,H \ M,81,75,59,77,29,66,"175cm | 5'9""  Stocky (78kg)",4,387,1837,Rennes,Ligue 1,France
Anton Stach,76,CM  CDM,Normal  Lengthy,600,2,5,H \ H,74,67,74,69,74,78,"194cm | 6'4""  High & Average (88kg)",10,436,2041,1. FSV Mainz 05,Bundesliga,Germany
Kristijan Jakić,76,CDM  CM,Normal  Lengthy,350,2,3,M \ H,64,62,65,69,73,82,"181cm | 5'11""  Average (75kg)",6,415,1949,Frankfurt,Bundesliga,Croatia
Ivan Ilić,76,CM  CF,Normal  Controlled,350,3,3,H \ M,76,71,76,78,69,71,"187cm | 6'2""  High & Average+ (75kg)",5,441,2069,Hellas Verona,Serie A TIM,Serbia
Martin Braithwaite,76,"ST  CF,LW",Normal  Controlled,350,4,4,M \ M,79,76,72,78,35,74,"177cm | 5'10""  Lean (73kg)",35,414,1987,RCD Espanyol,LaLiga Santander,Denmark
Ross Barkley,76,CAM  CM,Normal  Controlled,650,4,5,L \ L,68,73,76,78,56,70,"186cm | 6'1""  High & Average (76kg)",8,421,1999,OGC Nice,Ligue 1,England
Renato Steffen,76,"LM  RM,LW",Normal  Explosive,350,3,3,H \ M,85,71,71,79,54,66,"170cm | 5'7""  Short & Lean- (65kg)",5,426,2079,FC Lugano,Raiffeisen Super L. (SUI 1),Switzerland
Neal Maupay,76,ST  CF,Normal  Controlled,350,3,4,M \ M,74,77,67,73,41,72,"173cm | 5'8""  Average (69kg)",7,404,1946,Everton,Premier League,France
Leander Dendoncker,76,CM  CB,Normal  Controlled,400,2,4,H \ H,61,69,76,71,77,81,"189cm | 6'2""  High & Average (88kg)",3,435,2089,Aston Villa,Premier League,Belgium
Serhou Guirassy,76,ST  CF,Normal  Controlled,350,3,3,H \ M,68,75,66,75,38,75,"187cm | 6'2""  High & Average (82kg)",12,397,1924,VfB Stuttgart,Bundesliga,France
Alexander Sørloth,76,ST  CF,Normal  Lengthy,350,3,4,H \ M,81,74,66,72,36,84,"194cm | 6'4""  High & Average (90kg)",20,413,1917,Real Sociedad,LaLiga Santander,Norway
Jan Bednarek,76,CB,Normal  Controlled,400,2,2,M \ H,48,22,53,55,77,78,"189cm | 6'2""  High & Average+ (77kg)",11,333,1562,Aston Villa,Premier League,Poland
Harry Winks,76,CM  CDM,Normal  Controlled,350,3,3,M \ M,60,59,76,77,71,64,"176cm | 5'9""  Average (65kg)",4,407,1979,Sampdoria,Serie A TIM,England
Yusuf Yazıcı,76,"CF  CAM,ST",Normal  Controlled,350,4,4,M \ M,66,75,77,79,47,71,"183cm | 6'0""  Average (74kg)",11,415,2012,Trabzonspor,Süper Lig (TUR 1),Turkey
Shoya Nakajima,76,"CAM  RW,LW",Normal  Explosive,600,4,4,H \ L,86,71,71,82,37,47,"165cm | 5'5""  Short & Lean- (67kg)",19,394,1941,Antalyaspor,Süper Lig (TUR 1),Japan
Justin Kluivert,76,"LW  RM,LM",Normal  Explosive,350,4,4,H \ M,88,73,69,79,36,62,"172cm | 5'8""  Average (66kg)",14,407,1906,Valencia CF,LaLiga Santander,Netherlands
Roman Yaremchuk,76,ST  CF,Normal  Controlled,350,3,3,H \ M,79,75,70,71,45,74,"193cm | 6'4""  High & Average+ (83kg)",2,414,1930,Club Brugge,1A Pro League (BEL 1),Ukraine
Carlos Vinícius Alves Morais,76,ST  CF,Normal  Lengthy,350,3,3,H \ M,71,76,61,73,41,79,"190cm | 6'3""  High & Average (83kg)",7,401,1860,Fulham,Premier League,Brazil
Luiz Adriano Souza da Silva,76,ST  CF,Normal  Controlled,350,4,3,M \ M,71,76,66,76,33,64,"184cm | 6'0""  Average (80kg)",0,386,1868,Antalyaspor,Süper Lig (TUR 1),Brazil
Mauricio Isla,76,RB  RWB,Libertadores  Explosive,600,3,3,H \ M,77,54,73,75,72,73,"176cm | 5'9""  Average (75kg)",-8,424,2053,Uni. Católica,CONMEBOL Libertadores,Chile
Javier Pastore,76,CAM  CM,Normal  Controlled,350,4,4,H \ L,60,73,78,76,52,48,"187cm | 6'2""  High & Average+ (78kg)",7,387,1897,Elche CF,LaLiga Santander,Argentina
Magomed Ozdoev,76,CDM  CM,Normal  Controlled,350,3,4,M \ M,75,71,74,76,73,74,"184cm | 6'0""  Average (78kg)",16,443,2074,Karagümrük SK,Süper Lig (TUR 1),Russia
Tonny Vilhena,76,"LM  CM,LW",Normal  Controlled,400,3,4,H \ H,73,72,76,77,73,77,"175cm | 5'9""  Stocky (70kg)",12,448,2149,Salernitana,Serie A TIM,Netherlands
Andreas Hugo Hoelgebaum Pereira,76,"CAM  RM,CM",Normal  Explosive,400,4,4,M \ M,76,74,77,78,65,68,"177cm | 5'10""  Average (70kg)",9,438,2114,Fulham,Premier League,Brazil
Miguel Borja,76,ST  CF,Libertadores  Lengthy,600,3,4,M \ L,80,77,57,68,32,84,"183cm | 6'0""  Average (87kg)",3,398,1864,River Plate,CONMEBOL Libertadores,Colombia
Óscar Romero,76,"CAM  RM,CM",Libertadores  Explosive,600,4,4,H \ M,74,69,76,79,65,66,"176cm | 5'9""  Average (74kg)",7,429,2072,Boca Juniors,CONMEBOL Libertadores,Paraguay
Aaron Boupendza,76,"LW  LM,RW,ST",Normal  Controlled,350,4,3,H \ M,84,77,67,79,27,74,"180cm | 5'11""  Average (79kg)",7,408,1953,Al Shabab,MBS Pro League (SAU 1),Gabon
Youcef Belaïli,76,"LM  CAM,LW",Normal  Controlled,350,4,3,M \ L,79,74,72,79,26,68,"178cm | 5'10""  Average (75kg)",23,398,1867,Stade Brestois 29,Ligue 1,Algeria
João Victor da Silva Marcelino,76,CB,Normal  Lengthy,500,2,3,M \ H,78,50,52,57,77,77,"187cm | 6'2""  High & Average+ (80kg)",18,391,1782,SL Benfica,Liga NOS (POR 1),Brazil
Vanderson de Oliveira Campos,76,"RM  RB,RW",Normal  Controlled,450,3,3,M \ M,78,62,74,75,69,69,"180cm | 5'11""  Lean (74kg)",16,427,2020,AS Monaco,Ligue 1,Brazil
Robert Kenedy Nunes do Nascimento,76,"LM  RM,LW",Normal  Controlled,350,4,2,H \ H,77,71,74,78,60,62,"182cm | 6'0""  Average (77kg)",38,422,2014,R. Valladolid CF,LaLiga Santander,Brazil
Tyler Adams,76,"CDM  RWB,CM",OTW  Explosive,11.75K,3,3,H \ H,80,48,69,73,73,76,"175cm | 5'9""  Average (72kg)",-920,419,1968,Leeds United,Premier League,United States
Kevin van Veen,76,"ST  LM,CF",IF  Lengthy,9.4K,3,4,M \ L,66,79,68,73,36,84,"189cm | 6'2""  High & Average (85kg)",15,406,1973,Motherwell,Scottish Premiership (SPFL),Netherlands
Ejuke,76,"LM  RM,LW",Rare  Explosive,600,4,3,H \ H,92,70,67,80,44,65,"174cm | 5'9""  Average (72kg)",49,418,1921,Hertha Berlin,Bundesliga,Nigeria
Luca Tremolada,76,CAM  CM,IF  Explosive,9.4K,3,3,M \ M,84,75,77,76,60,65,"176cm | 5'9""  Lean (69kg)",21,437,2060,Modena,Italy Serie B (2),Italy
Jacob Ramsey,75,CM  CAM,Normal  Controlled,600,3,4,H \ M,75,74,71,78,67,74,"180cm | 5'11""  Average (72kg)",20,439,2067,Aston Villa,Premier League,England
Anthony Gordon,75,"LM  RM,LW",Normal  Controlled,500,3,3,H \ M,80,69,72,75,37,62,"183cm | 6'0""  Lean (74kg)",-10,395,1854,Everton,Premier League,England
Tino Livramento,75,RB  RWB,Normal  Controlled,350,2,4,H \ M,83,47,65,74,70,67,"181cm | 5'11""  Average (71kg)",14,406,1875,Southampton,Premier League,England
Warmed Omari,75,CB,Normal  Lengthy,400,2,3,L \ M,65,34,58,61,77,73,"185cm | 6'1""  High & Average (78kg)",5,368,1694,Rennes,Ligue 1,France
Fran Navarro,75,ST  CF,Normal  Controlled,450,3,3,H \ M,68,75,53,72,41,78,"179cm | 5'10""  Average (71kg)",3,387,1842,Gil Vicente,Liga NOS (POR 1),Spain
Malo Gusto,75,RB  RWB,Normal  Controlled,350,3,3,H \ H,86,49,68,70,67,71,"179cm | 5'10""  Lean (74kg)",21,411,1914,OL,Ligue 1,France
Josip Šutalo,75,CB,Normal  Lengthy,600,2,3,M \ H,78,29,58,67,76,77,"190cm | 6'3""  High & Average (82kg)",14,385,1718,Dinamo Zagreb,Liga Hrvatska (CRO 1),Croatia
Georginio Rutter,75,ST  CF,Normal  Controlled,450,3,5,M \ M,77,74,59,76,24,64,"182cm | 6'0""  Average (83kg)",14,374,1764,TSG Hoffenheim,Bundesliga,France
Djed Spence,75,RWB  RB,Normal  Controlled,350,3,3,H \ H,89,43,58,74,67,63,"184cm | 6'0""  Lean (71kg)",20,394,1735,Spurs,Premier League,England
Nicola Sansone,75,CAM  LW,Normal  Explosive,350,4,3,H \ M,78,71,71,69,44,54,"173cm | 5'8""  Average (63kg)",2,398,1955,Bologna,Serie A TIM,Italy
Vallejo,75,CB,Non-Rare  Controlled,400,2,3,L \ M,67,42,57,66,76,66,"184cm | 6'0""  Lean (79kg)",9,372,1726,Real Madrid,LaLiga Santander,Spain
Andriy Lunin,75,GK,Normal  Controlled,350,1,3,M \ M,74,71,73,76,37,75,"192cm | 6'4""  High & Average+ (87kg)",24,406,806,Real Madrid,LaLiga Santander,Ukraine
Luca Waldschmidt,75,CF  ST,Normal  Controlled,350,3,3,H \ M,68,78,70,76,29,61,"181cm | 5'11""  Lean (74kg)",5,382,1873,VfL Wolfsburg,Bundesliga,Germany
Remko Pasveer,75,GK,Normal  Controlled,350,1,4,M \ M,73,76,82,76,43,75,"187cm | 6'2""  High & Average (88kg)",12,425,964,Ajax,Eredivisie,Netherlands
Nathan Collins,75,CB  RB,Normal  Lengthy,400,2,3,M \ H,71,30,54,61,76,76,"193cm | 6'4""  High & Average (81kg)",10,368,1647,Wolves,Premier League,Republic of Ireland
Josuha Guilavogui,75,CDM  CB,Normal  Lengthy,350,2,3,M \ H,68,59,64,65,76,80,"188cm | 6'2""  High & Average (77kg)",3,412,1929,VfL Wolfsburg,Bundesliga,France
Sebastiaan Bornauw,75,CB,Normal  Lengthy,400,2,3,M \ M,75,45,59,56,76,77,"191cm | 6'3""  High & Average+ (83kg)",3,388,1766,VfL Wolfsburg,Bundesliga,Belgium
Silas,75,"RM  LM,RW,ST",Normal  Controlled,450,5,2,H \ M,87,71,61,80,52,65,"189cm | 6'2""  High & Average (82kg)",115,416,1897,VfB Stuttgart,Bundesliga,Congo DR
Amine Harit,75,"LM  CM,CAM,LW",Normal  Explosive,400,5,3,H \ M,74,62,71,79,39,49,"180cm | 5'11""  Lean (67kg)",24,374,1773,OM,Ligue 1,Morocco
Daniel-Kofi Kyereh,75,"CAM  RM,ST",Normal  Explosive,350,5,3,M \ M,81,72,66,80,24,62,"179cm | 5'10""  Average (73kg)",30,385,1834,SC Freiburg,Bundesliga,Ghana
Cesinha,75,"LW  LM,CAM,ST",Normal  Controlled,350,5,5,H \ M,81,76,72,75,32,72,"177cm | 5'10""  Average (74kg)",26,408,1926,Daegu FC,K League 1 (KOR 1),Brazil
Alexandru Maxim,75,"CAM  CM,LM",Normal  Explosive,350,5,4,H \ M,69,73,73,79,32,58,"177cm | 5'10""  Average (73kg)",3,384,1884,Gaziantep,Süper Lig (TUR 1),Romania
Waldemar Anton,75,CB  CDM,Normal  Lengthy,400,3,3,M \ M,64,46,59,65,75,79,"189cm | 6'2""  High & Average (86kg)",4,388,1791,VfB Stuttgart,Bundesliga,Germany
Tiago Tomás,75,"ST  CF,RW",Normal  Controlled,350,3,3,H \ M,87,70,58,77,38,69,"180cm | 5'11""  Lean (78kg)",14,399,1847,VfB Stuttgart,Bundesliga,Portugal
Michel Aebischer,75,CM,Normal  Controlled,350,3,4,M \ H,71,65,75,75,65,74,"183cm | 6'0""  Lean (74kg)",3,425,1996,Bologna,Serie A TIM,Switzerland
Stefan Posch,75,CB  RB,Normal  Lengthy,400,2,3,M \ M,75,29,50,45,79,71,"189cm | 6'2""  High & Average+ (82kg)",5,349,1583,Bologna,Serie A TIM,Austria
Sander Berge,75,CDM  CM,Normal  Lengthy,350,3,3,M \ M,64,59,71,72,73,83,"195cm | 6'5""  High & Average (96kg)",4,422,1985,Sheffield Utd,EFL Championship (ENG 2),Norway
Ben Brereton,75,"ST  CF,LW",Normal  Controlled,350,3,3,H \ M,84,73,63,74,41,76,"188cm | 6'2""  High & Average (75kg)",43,411,1893,Blackburn Rovers,EFL Championship (ENG 2),Chile
Josh Brownhill,75,CM  RM,Normal  Controlled,350,3,3,M \ H,67,65,71,74,75,78,"180cm | 5'11""  Average (69kg)",3,430,2055,Burnley,EFL Championship (ENG 2),England
Charlie Taylor,75,LB  LWB,Normal  Controlled,350,3,2,H \ H,69,52,70,82,53,72,"185cm | 6'1""  High & Average (70kg)",2,415,1966,Burnley,EFL Championship (ENG 2),England
Okay Yokuşlu,75,"CDM  CB,CM",Normal  Lengthy,350,3,3,M \ H,59,70,70,70,73,81,"191cm | 6'3""  High & Average+ (79kg)",9,423,2031,West Brom,EFL Championship (ENG 2),Turkey
Isaac Hayden,75,"CDM  CB,CM",Normal  Lengthy,350,2,4,L \ H,54,60,63,70,75,77,"185cm | 6'1""  High & Average (79kg)",2,399,1875,Norwich,EFL Championship (ENG 2),England
Kortney Hause,75,CB,Normal  Controlled,350,2,2,L \ M,59,45,60,59,74,78,"191cm | 6'3""  High & Average (77kg)",0,375,1719,Watford,EFL Championship (ENG 2),England
Ko Itakura,75,CB  CDM,Normal  Controlled,600,3,4,M \ M,74,45,59,67,77,76,"188cm | 6'2""  High & Average+ (74kg)",28,398,1836,M'gladbach,Bundesliga,Japan
Alexander Schwolow,75,GK,Normal  Controlled,350,1,3,M \ M,75,72,63,77,37,74,"190cm | 6'3""  High & Average (84kg)",6,398,809,FC Schalke 04,Bundesliga,Germany
Thomas Ouwejan,75,LB  LWB,Normal  Controlled,350,3,2,H \ M,73,61,77,72,69,75,"183cm | 6'0""  Average (77kg)",11,427,2032,FC Schalke 04,Bundesliga,Netherlands
Cédric Brunner,75,"RB  RWB,CB",Normal  Controlled,350,2,4,M \ M,69,57,65,67,74,71,"180cm | 5'11""  Lean (75kg)",7,403,1881,FC Schalke 04,Bundesliga,Switzerland
Alex Král,75,CDM  CM,Normal  Controlled,350,3,3,H \ M,71,70,71,75,72,78,"186cm | 6'1""  High & Average+ (76kg)",11,437,2072,FC Schalke 04,Bundesliga,Czech Republic
Marc-Oliver Kempf,75,CB,Normal  Lengthy,600,2,4,H \ M,76,42,56,62,76,77,"186cm | 6'1""  High & Average (87kg)",10,389,1784,Hertha Berlin,Bundesliga,Germany
Vladimír Darida,75,"CM  CDM,CAM",Normal  Controlled,350,3,4,H \ H,62,71,74,77,70,63,"172cm | 5'8""  Lean (67kg)",1,417,2072,Hertha Berlin,Bundesliga,Czech Republic
Jean-Paul Boëtius,75,CAM  CM,Normal  Explosive,350,4,4,M \ M,72,70,74,78,44,64,"179cm | 5'10""  Average (73kg)",30,402,1945,Hertha Berlin,Bundesliga,Netherlands
Lucas Tousart,75,CDM  CM,Normal  Controlled,350,2,3,M \ H,63,53,64,66,76,82,"185cm | 6'1""  High & Average (83kg)",8,404,1894,Hertha Berlin,Bundesliga,France
Martins Indi,75,CB,Normal  Controlled,350,2,3,M \ M,44,42,58,58,76,80,"185cm | 6'1""  High & Average (76kg)",-1,358,1692,AZ,Eredivisie,Netherlands
Jordy Clasie,75,CM  CDM,Normal  Controlled,350,3,3,M \ M,56,61,77,75,66,67,"170cm | 5'7""  Short & Lean- (68kg)",5,402,1994,AZ,Eredivisie,Netherlands
Nicolas Seiwald,75,CM  CDM,Normal  Controlled,350,2,3,M \ M,73,62,73,72,72,73,"179cm | 5'10""  Average (70kg)",5,425,2037,RB Salzburg,Ö Bundesliga (AUT 1),Austria
Noah Okafor,75,"ST  LM,CAM,CF",Normal  Controlled,600,4,4,H \ M,93,73,68,75,31,75,"185cm | 6'1""  High & Average (85kg)",69,415,1907,RB Salzburg,Ö Bundesliga (AUT 1),Switzerland
Maximilian Wöber,75,CB,Normal  Lengthy,550,2,3,M \ H,72,51,66,64,74,80,"189cm | 6'2""  High & Average (82kg)",4,407,1930,RB Salzburg,Ö Bundesliga (AUT 1),Austria
Luka Ivanušec,75,"CAM  RM,CM",Normal  Controlled,350,4,4,H \ M,82,70,71,81,58,72,"175cm | 5'9""  Stocky (76kg)",4,434,2059,Dinamo Zagreb,Liga Hrvatska (CRO 1),Croatia
Bruno Petković,75,"ST  CAM,CF",Normal  Lengthy,350,4,4,M \ M,74,72,76,79,39,75,"193cm | 6'4""  High & Average (88kg)",5,415,1961,Dinamo Zagreb,Liga Hrvatska (CRO 1),Croatia
Jean-Louis Leca,75,GK,Normal  Controlled,400,1,3,M \ M,75,72,76,77,41,73,"180cm | 5'11""  Stocky (75kg)",-1,414,877,RC Lens,Ligue 1,France
Benoît Costil,75,GK,Normal  Controlled,350,1,3,M \ M,73,74,75,75,49,76,"187cm | 6'2""  High & Average (82kg)",8,422,852,AJ Auxerre,Ligue 1,France
Salvador Sevilla López,75,CDM  CM,Normal  Controlled,350,3,3,M \ M,37,72,79,71,70,62,"178cm | 5'10""  Average (71kg)",2,391,1939,D. Alavés,LaLiga SmartBank (ESP 2),Spain
Bafétimbi Gomis,75,ST  CF,Normal  Controlled,350,3,4,L \ L,33,80,68,67,36,67,"184cm | 6'0""  Average (86kg)",18,351,1767,Galatasaray,Süper Lig (TUR 1),France
Lior Refaelov,75,"LM  CF,LW",Normal  Controlled,350,4,4,H \ H,61,76,75,76,49,62,"175cm | 5'9""  Lean (70kg)",9,399,1992,RSC Anderlecht,1A Pro League (BEL 1),Israel
Ștefan Radu,75,CB,Normal  Controlled,400,3,3,M \ H,55,64,65,68,79,69,"183cm | 6'0""  Average (79kg)",6,400,1919,SS Lazio,Serie A TIM,Romania
Gonzalo Higuaín,75,ST  CF,Normal  Controlled,350,3,4,L \ L,48,79,71,72,28,64,"186cm | 6'1""  Unique (89kg)",64,362,1799,Inter Miami CF,Major League Soccer,Argentina
Marcelo Grohe,75,GK,Normal  Controlled,350,1,2,M \ M,76,74,66,76,39,75,"188cm | 6'2""  High & Average (81kg)",3,406,877,Al Ittihad,MBS Pro League (SAU 1),Brazil
Stojkovic,75,GK,Normal  Lengthy,350,1,3,M \ M,71,69,69,74,54,81,"193cm | 6'4""  High & Average (96kg)",3,418,1021,Al Fayha,MBS Pro League (SAU 1),Serbia
James McArthur,75,CDM  CM,Normal  Controlled,350,3,3,H \ H,52,67,71,72,74,68,"178cm | 5'10""  Average (66kg)",4,404,1990,Crystal Palace,Premier League,Scotland
Asmir Begović,75,GK,Normal  Controlled,350,1,2,M \ M,75,77,73,71,43,73,"199cm | 6'6""  High & Average+ (101kg)",10,412,892,Everton,Premier League,Bosnia and Herzegovina
Domenico Criscito,75,"CB  LB,LM",Normal  Controlled,400,3,3,M \ H,68,61,74,71,77,71,"183cm | 6'0""  Lean (75kg)",7,422,2060,Toronto FC,Major League Soccer,Italy
Iván Marcano Sierra,75,CB,Normal  Controlled,400,2,3,L \ M,50,46,60,58,78,72,"190cm | 6'3""  High & Average (78kg)",1,364,1720,FC Porto,Liga NOS (POR 1),Spain
Mariano Andújar,75,GK,Libertadores  Controlled,600,1,3,M \ M,72,73,67,75,45,78,"194cm | 6'4""  High & Average (88kg)",0,410,895,Estudiantes,CONMEBOL Libertadores,Argentina
Vadis Odjidja-Ofoe,75,CM  CAM,Normal  Controlled,350,3,4,H \ M,50,71,76,74,69,76,"185cm | 6'1""  High & Stocky (79kg)",1,416,2032,KAA Gent,1A Pro League (BEL 1),Belgium
Ritchie De Laet,75,"RB  RWB,CB,LB",Normal  Controlled,350,2,3,H \ H,83,51,63,68,73,78,"184cm | 6'0""  Average (83kg)",5,416,1907,Royal Antwerp FC,1A Pro League (BEL 1),Belgium
Leonardo Burián,75,GK,Libertadores  Controlled,600,1,3,M \ M,76,72,71,74,51,78,"188cm | 6'2""  High & Average (81kg)",-1,422,1025,Vélez Sarsfield,CONMEBOL Libertadores,Uruguay
Berg,75,ST  CF,Normal  Controlled,350,3,4,H \ L,67,75,63,72,35,68,"184cm | 6'0""  Lean (74kg)",6,380,1853,IFK Göteborg,Allsvenskan (SWE 1),Sweden
Marcelo Díaz,75,CDM  CM,Libertadores  Controlled,600,3,3,M \ H,58,65,78,75,67,72,"166cm | 5'5""  Short & Lean- (67kg)",2,415,2086,Libertad,CONMEBOL Libertadores,Chile
Marouane Fellaini,75,"CM  CDM,ST",Normal  Controlled,350,3,3,M \ M,34,72,69,69,75,87,"194cm | 6'4""  High & Stocky (85kg)",31,406,2025,Shandong Luneng,Chinese FA Super L. (CHN 1),Belgium
Emiliano Vecchio,75,CAM  CM,Sudamericana  Controlled,350,3,3,H \ M,67,72,77,74,60,70,"178cm | 5'10""  Stocky (80kg)",0,420,2017,Racing Club,CONMEBOL Sudamericana,Argentina
Adam Lallana,75,CM,Normal  Controlled,400,4,5,H \ M,61,70,77,77,62,61,"178cm | 5'10""  Lean (73kg)",4,408,2024,Brighton,Premier League,England
Albin Ekdal,75,CM  CDM,Normal  Controlled,350,3,3,M \ M,41,65,75,71,70,74,"186cm | 6'1""  High & Average+ (82kg)",4,396,1976,La Spezia,Serie A TIM,Sweden
Pablo Aguilar,75,CB,Libertadores  Lengthy,600,2,3,M \ H,63,52,54,57,77,74,"178cm | 5'10""  Stocky (74kg)",5,377,1790,Libertad,CONMEBOL Libertadores,Paraguay
Marc Albrighton,75,"RM  RWB,RW",Normal  Controlled,650,3,3,H \ H,65,68,76,76,61,65,"175cm | 5'9""  Lean (74kg)",5,411,1998,Leicester City,Premier League,England
Eric Maxim Choupo-Moting,75,"ST  LM,CF",Normal  Controlled,650,3,4,H \ M,63,73,68,78,38,69,"191cm | 6'3""  High & Average (90kg)",41,389,1857,FC Bayern,Bundesliga,Cameroon
Romain Thomas,75,CB,Normal  Controlled,400,2,3,M \ H,33,37,54,47,76,72,"193cm | 6'4""  High & Average+ (84kg)",4,319,1546,SM Caen,Ligue 2 (FRA 2),France
Romain Alessandrini,75,"ST  RM,LM,CF",Normal  Explosive,600,4,4,H \ L,85,78,72,78,45,68,"173cm | 5'8""  Average (70kg)",-21,426,2041,Shenzhen Kaisa,Chinese FA Super L. (CHN 1),France
José Callejón,75,RW  RM,Normal  Explosive,350,3,4,M \ M,75,72,75,77,48,58,"178cm | 5'10""  Lean (73kg)",7,405,1972,Granada CF,LaLiga SmartBank (ESP 2),Spain
Johnny Russell,75,RW  RM,Normal  Controlled,350,3,3,H \ M,77,75,71,76,50,79,"178cm | 5'10""  Average (76kg)",3,428,2050,Sporting KC,Major League Soccer,Scotland
Luiz Gustavo Dias,75,CDM  CM,Normal  Lengthy,550,3,3,M \ H,55,61,68,69,76,80,"187cm | 6'2""  High & Average (78kg)",9,409,1980,Al Nassr,MBS Pro League (SAU 1),Brazil
Joshua King,75,"ST  CF,LW",Normal  Controlled,350,4,3,M \ L,79,75,70,76,38,74,"184cm | 6'0""  Average (82kg)",7,412,1954,Fenerbahçe,Süper Lig (TUR 1),Norway
Danny Welbeck,75,ST  CF,Normal  Controlled,350,3,3,H \ H,70,73,67,74,42,66,"185cm | 6'1""  High & Average (73kg)",8,392,1894,Brighton,Premier League,England
Luke Ayling,75,"RB  RWB,CB",Normal  Controlled,350,3,3,H \ H,64,57,64,72,75,75,"185cm | 6'1""  High & Average+ (72kg)",4,407,1897,Leeds United,Premier League,England
Fabio Borini,75,"LW  LM,RW,ST",Normal  Controlled,350,3,3,H \ M,73,74,72,76,45,68,"180cm | 5'11""  Lean (73kg)",4,408,1972,Karagümrük SK,Süper Lig (TUR 1),Italy
Sven Ulreich,75,GK,Normal  Controlled,650,1,2,M \ M,75,69,62,79,41,73,"192cm | 6'4""  High & Average (87kg)",4,399,825,FC Bayern,Bundesliga,Germany
Victor Wanyama,75,CDM  CM,Normal  Controlled,350,2,3,L \ M,39,63,66,72,71,88,"188cm | 6'2""  High & Average (79kg)",3,399,1955,Impact Montréal,Major League Soccer,Kenya
Gleidionor Júnior,75,ST  CF,Normal  Lengthy,350,3,3,H \ L,77,75,60,70,35,79,"187cm | 6'2""  High & Average (75kg)",6,396,1821,Changchun Yatai,Chinese FA Super L. (CHN 1),Brazil
Sebastian Rudy,75,"CM  RB,CDM",Normal  Controlled,400,3,3,M \ M,63,65,77,75,71,66,"180cm | 5'11""  Lean (74kg)",2,417,2048,TSG Hoffenheim,Bundesliga,Germany
Alex McCarthy,75,GK,Normal  Controlled,350,1,2,M \ M,74,72,61,80,57,72,"193cm | 6'4""  High & Average+ (79kg)",3,416,946,Southampton,Premier League,England
Benjamin Hübner,75,CB,Normal  Controlled,600,2,2,M \ M,38,33,55,57,78,67,"193cm | 6'4""  High & Average (86kg)",0,328,1604,TSG Hoffenheim,Bundesliga,Germany
Damián Díaz,75,CAM,Sudamericana  Controlled,350,4,4,H \ M,71,71,76,77,44,68,"174cm | 5'9""  Lean (67kg)",2,407,1940,Barcelona SC,CONMEBOL Sudamericana,Ecuador
Iborra,75,CDM  CM,Normal  Controlled,350,3,4,M \ M,31,64,72,64,74,79,"190cm | 6'3""  High & Average (80kg)",-2,384,1919,Levante UD,LaLiga SmartBank (ESP 2),Spain
Steven Zuber,75,LW  LM,Normal  Controlled,350,3,4,H \ M,77,73,73,76,67,73,"182cm | 6'0""  Average (74kg)",4,439,2056,AEK Athens,Hellas Liga (GRE 1),Switzerland
Cote,75,LB  LWB,Normal  Controlled,350,3,3,H \ L,64,54,75,70,74,67,"182cm | 6'0""  Lean (77kg)",4,404,1958,R. Sporting,LaLiga SmartBank (ESP 2),Spain
Rubén Pérez,75,CDM  CM,Normal  Controlled,350,2,3,M \ M,50,63,69,65,72,74,"178cm | 5'10""  Average (72kg)",-257,393,1900,Panathinaikos,Hellas Liga (GRE 1),Spain
Mikel Balenziaga,75,"LB  CB,LWB",Normal  Controlled,350,3,3,M \ M,75,47,68,70,73,76,"177cm | 5'10""  Average (77kg)",7,409,1938,Athletic Club,LaLiga Santander,Spain
Teemu Pukki,75,ST  CF,Normal  Controlled,350,3,3,H \ H,77,76,62,73,36,73,"180cm | 5'11""  Average (80kg)",21,397,1885,Norwich,EFL Championship (ENG 2),Finland
